L,observable,x,mean_value,fit_window
256,S(q),0.760854470791278,2.59087708667749,1
256,S(q),0.7853981633974483,1.2715905290108873,1
256,S(q),0.8099418560036186,1.88924400251891,0
256,S(q),0.8344855486097889,2.5257912701965943,0
256,S(q),0.859029241215959,2.267200755771379,0
256,S(q),0.8835729338221293,2.659327010724855,0
256,S(q),0.9081166264282996,0.8210739708706303,0
256,S(q),0.9326603190344698,1.0730572237849016,0
256,S(q),0.9572040116406401,1.0634390509279976,0
256,S(q),0.9817477042468103,0.7942888121168824,0
256,S(q),1.0062913968529805,0.8608700821149853,0
256,S(q),1.030835089459151,0.6184096241464542,0
256,S(q),1.055378782065321,1.127817013081368,0
256,S(q),1.0799224746714913,0.754478252179228,0
256,S(q),1.1044661672776617,0.613481706621477,0
256,S(q),1.1290098598838318,0.7752429797218734,0
256,S(q),1.1535535524900022,0.6679273859331755,0
256,S(q),1.1780972450961724,0.6034762641948027,0
256,S(q),1.2026409377023426,0.4434538029850403,0
256,S(q),1.227184630308513,0.4180226144577514,0
256,S(q),1.2517283229146832,0.22258782856001022,0
256,S(q),1.2762720155208536,0.4400044813272716,0
256,S(q),1.3008157081270237,0.49866393964829486,0
256,S(q),1.325359400733194,0.5033127964369105,0
256,S(q),1.3499030933393643,0.6372083669948283,0
256,S(q),1.3744467859455345,0.6673125573648435,0
256,S(q),1.3989904785517047,0.43578583607704885,0
256,S(q),1.423534171157875,0.5754425930892388,0
256,S(q),1.4480778637640452,0.3334519255100777,0
256,S(q),1.4726215563702154,0.1738204521962664,0
256,S(q),1.4971652489763858,0.3269641777665638,0
256,S(q),1.521708941582556,0.2204940027236285,0
256,S(q),1.5462526341887264,0.13382601508719658,0
256,S(q),1.5707963267948966,0.22660222095735802,0
256,S(q),1.5953400194010667,0.1930949374135766,0
256,S(q),1.6198837120072371,0.2542240668661255,0
256,S(q),1.6444274046134073,0.14486884762616056,0
256,S(q),1.6689710972195777,0.10105716826845551,0
256,S(q),1.6935147898257479,0.22902799401739618,0
256,S(q),1.718058482431918,0.17774067529469287,0
256,S(q),1.7426021750380885,0.19512360517368155,0
256,S(q),1.7671458676442586,0.16837009732887884,0
256,S(q),1.7916895602504288,0.08811568835387351,0
256,S(q),1.8162332528565992,0.0908707844903669,0
256,S(q),1.8407769454627694,0.18978381100352948,0
256,S(q),1.8653206380689396,0.19650951490948454,0
256,S(q),1.88986433067511,0.06155326108171183,0
256,S(q),1.9144080232812801,0.1536713691503153,0
256,S(q),1.9389517158874505,0.09249799577005029,0
256,S(q),1.9634954084936207,0.2241366190911044,0
256,S(q),1.9880391010997909,0.1321736618894807,0
256,S(q),2.012582793705961,0.09863289393357348,0
256,S(q),2.0371264863121317,0.0978960288560398,0
256,S(q),2.061670178918302,0.1166041818437492,0
256,S(q),2.086213871524472,0.02402383638972839,0
256,S(q),2.110757564130642,0.06953975254927458,0
256,S(q),2.1353012567368124,0.06888508398403582,0
256,S(q),2.1598449493429825,0.09326792322766204,0
256,S(q),2.184388641949153,0.13652161372711644,0
256,S(q),2.2089323345553233,0.12852121998345345,0
