L,M,seed,fc_lo,fc_hi,fc_mid
64,736,20271142,0.829296875,0.83125,0.8302734375
64,736,20271143,0.864453125,0.86640625,0.8654296875
64,736,20271144,0.76875,0.770703125,0.7697265625
64,736,20271145,0.813671875,0.815625,0.8146484375
64,736,20271146,0.78046875,0.782421875,0.7814453125
64,736,20271147,0.878125,0.880078125,0.8791015625
64,736,20271148,0.817578125,0.81953125,0.8185546875
128,1728,20271125,0.825390625,0.82734375,0.8263671875
128,1728,20271126,0.809765625,0.81171875,0.8107421875
128,1728,20271127,0.82734375,0.829296875,0.8283203125
128,1728,20271128,0.81171875,0.813671875,0.8126953125
128,1728,20271129,0.81171875,0.813671875,0.8126953125
128,1728,20271130,0.8,0.801953125,0.8009765625
128,1728,20271131,0.83515625,0.837109375,0.8361328125
128,1728,20271132,0.7921875,0.794140625,0.7931640625
128,1728,20271133,0.81171875,0.813671875,0.8126953125
128,1728,20271134,0.821484375,0.8234375,0.8224609375
128,1728,20271135,0.85859375,0.860546875,0.8595703125
128,1728,20271136,0.81953125,0.821484375,0.8205078125
128,1728,20271137,0.833203125,0.83515625,0.8341796875
128,1728,20271138,0.856640625,0.85859375,0.8576171875
128,1728,20271139,0.852734375,0.8546875,0.8537109375
128,1728,20271140,0.846875,0.848828125,0.8478515625
128,1728,20271141,0.809765625,0.81171875,0.8107421875
128,1728,20271142,0.860546875,0.8625,0.8615234375
128,1728,20271143,0.798046875,0.8,0.7990234375
128,1728,20271144,0.821484375,0.8234375,0.8224609375
128,1728,20271145,0.77265625,0.774609375,0.7736328125
128,1728,20271146,0.837109375,0.8390625,0.8380859375
128,1728,20271147,0.786328125,0.78828125,0.7873046875
128,1728,20271148,0.83125,0.833203125,0.8322265625
256,4096,20271125,0.8390625,0.841015625,0.8400390625
256,4096,20271126,0.837109375,0.8390625,0.8380859375
256,4096,20271127,0.84296875,0.844921875,0.8439453125
256,4096,20271128,0.8078125,0.809765625,0.8087890625
256,4096,20271129,0.868359375,0.8703125,0.8693359375
256,4096,20271130,0.815625,0.817578125,0.8166015625
256,4096,20271131,0.80390625,0.805859375,0.8048828125
256,4096,20271132,0.809765625,0.81171875,0.8107421875
256,4096,20271133,0.82734375,0.829296875,0.8283203125
256,4096,20271134,0.82734375,0.829296875,0.8283203125
256,4096,20271135,0.82734375,0.829296875,0.8283203125
256,4096,20271136,0.829296875,0.83125,0.8302734375
256,4096,20271137,0.794140625,0.79609375,0.7951171875
256,4096,20271138,0.83125,0.833203125,0.8322265625
256,4096,20271139,0.833203125,0.83515625,0.8341796875
256,4096,20271140,0.8390625,0.841015625,0.8400390625
256,4096,20271141,0.825390625,0.82734375,0.8263671875
256,4096,20271142,0.83125,0.833203125,0.8322265625
256,4096,20271143,0.8390625,0.841015625,0.8400390625
