seed,authority,T,v_rep1,v_rep2,v_rep3,v_mean_within_disorder,max_half_rel_diff
20271104,mid,0.02,0.3146640941260295,0.31127300762517257,0.31673932444792907,0.3142254753997104,0.03809003255546129
20271104,mid,0.04,0.33601597124166216,0.34168813624915045,0.34521842631522565,0.34097417793534607,0.03518137498928729
20271104,mid,0.08,0.37635078912964276,0.36439813454057296,0.3661426005439516,0.36896384140472244,0.07700980049171956
20271104,hi,0.0025,0.2858482472219237,0.28926282370740997,0.28813997408329145,0.2877503483375417,0.02151495515198273
20271104,hi,0.005,0.296430553491172,0.3000907949593624,0.29274538573600606,0.2964222447288468,0.04922058344018671
20271104,hi,0.01,0.30334784105940316,0.29841300807278215,0.3041935436414746,0.30198479759122,0.024897881977967332
20271104,hi,0.02,0.31716524010166575,0.3112708750165278,0.31621267984140355,0.314882931653199,0.06709148368096811
20271104,hi,0.04,0.3363411093007896,0.34038522412495653,0.34523949970430756,0.34065527771001786,0.03504219189636439
20271104,hi,0.08,0.37639009083305563,0.36518729839274566,0.37522030567566245,0.3722658983004879,0.07729500248613352
20271105,lo,0.0025,0.2202942548439437,0.21035867268416697,0.2251195150274251,0.2185908141851786,0.1940528250827066
20271105,lo,0.005,0.22814112566124625,0.2390752662092932,0.2332926555471425,0.23350301580589397,0.05720439856262151
20271105,lo,0.01,0.25305580531068256,0.24818710426870882,0.2520692994801249,0.2511040696865054,0.04063506611416403
20271105,lo,0.02,0.27806379267742254,0.2693076907098903,0.2704683365943868,0.27261327332723323,0.05951419417338016
20271105,lo,0.04,0.30677973747947157,0.3042896044024577,0.30583649433065746,0.30563527873752894,0.05541792079569611
20271105,lo,0.08,0.3460710564836192,0.35580610481779695,0.35140327075986916,0.35109347735376173,0.048557180534565356
20271105,mid,0.0025,0.22004436722029544,0.22527224703694917,0.22685052239117798,0.22405571221614085,0.054606944441514746
20271105,mid,0.005,0.22792241697236185,0.23874835371419506,0.23324617340837434,0.23330564803164378,0.12156946609780926
20271105,mid,0.01,0.2538298406943437,0.25311024022782835,0.24994873870908546,0.2522962732104192,0.022069008802102868
20271105,mid,0.02,0.2780028199634782,0.2692936353903018,0.2731961113482528,0.27349752223401097,0.03462978846196187
20271105,mid,0.04,0.3067211711063894,0.3042335722817727,0.3060767045009682,0.3056771492963768,0.08470214036803757
20271105,mid,0.08,0.3504340104260002,0.3558395341851055,0.35134678020823795,0.35254010827311455,0.04740958604083603
20271105,hi,0.0025,0.22380973529017797,0.23527663774213042,0.23353924123628192,0.23087520475619674,0.08266763149127039
20271105,hi,0.005,0.2315894023637315,0.2407587579613555,0.23223304819057256,0.23486040283855317,0.086545422258744
20271105,hi,0.01,0.25399028966820375,0.2534662255878677,0.2575449604204697,0.2550004918921804,0.03579447673473959
20271105,hi,0.02,0.27734586056734006,0.26965048541765585,0.27901208045173087,0.2753361421455756,0.03383365220679263
20271105,hi,0.04,0.30661935949363384,0.3078503469093418,0.3068762650883441,0.3071153238304399,0.07512447905375016
20271105,hi,0.08,0.3504248780768215,0.3575138769934126,0.35106665907758705,0.3530018047159404,0.045533427029236115
20271106,lo,0.0025,0.21355535906869424,0.20299734312395756,0.21408536302300393,0.2102126884052186,0.04081381679547974
20271106,lo,0.005,0.22917750464207798,0.2359982026778069,0.21330653601373464,0.22616074777787318,0.11885276023612096
20271106,lo,0.01,0.2362206505038441,0.23210494605859075,0.2402628242518339,0.2361961402714229,0.04485906099498359
20271106,lo,0.02,0.23797294445765577,0.256127107010588,0.24830154075591357,0.24746719740805245,0.033508235732891405
20271106,lo,0.04,0.2663684378016747,0.27084664910395634,0.2676225628484472,0.2682792165846927,0.034983134916357454
20271106,lo,0.08,0.31699055566537593,0.30830307820936215,0.3067950033577011,0.3106962124108131,0.007018212934235244
20271106,mid,0.0025,0.213638205354619,0.21598914959502075,0.21348012364054375,0.2143691595300612,0.10630965119176052
20271106,mid,0.005,0.23193114047723895,0.23661332957601589,0.22500524237886527,0.23118323747737338,0.09501652214384365
20271106,mid,0.01,0.23613686650058116,0.2321100409590201,0.2402907668027998,0.2361792247541337,0.07125758096747671
20271106,mid,0.02,0.2459287981052043,0.2558713467303329,0.250768376758056,0.250856173864531,0.05568840683402851
20271106,mid,0.04,0.2841782217319554,0.26857696603662495,0.27969121118883566,0.2774821329858053,0.0521596757687385
20271106,mid,0.08,0.31730151235454956,0.3129949217084375,0.3068283488178059,0.312374927626931,0.02407075939309213
20271106,hi,0.0025,0.22351373106205022,0.21648871559250427,0.22011149146998005,0.22003797937484482,0.11046203064191519
20271106,hi,0.005,0.2291275111238138,0.23651744029927527,0.2230741968243898,0.22957304941582626,0.06330455816512612
20271106,hi,0.01,0.2351107783353589,0.2426165570436491,0.24223735762365353,0.23998823100088718,0.09632757992097751
20271106,hi,0.02,0.24601562322319837,0.2556815567186345,0.25082277625435645,0.25083998539872976,0.0559824647430635
20271106,hi,0.04,0.2842290373267446,0.27494107559089664,0.2797998082804765,0.27965664039937255,0.0970772029272536
20271106,hi,0.08,0.3173643822531642,0.31192805641342564,0.3068859084664052,0.3120594490443317,0.031096639744268302
20271107,lo,0.0025,0.19474779063866152,0.20495321101187083,0.19812675284582443,0.1992759181654523,0.08159525784738664
20271107,lo,0.005,0.20454990775559853,0.20191254349864549,0.2063920074969085,0.2042848195837175,0.06143251136367676
20271107,lo,0.01,0.21180713282613173,0.20841297752881877,0.21169167762411942,0.21063726265968996,0.03711826496583819
20271107,lo,0.02,0.2039714152860132,0.21832414019222648,0.2243090103523279,0.21553485527685587,0.06963731374649546
20271107,lo,0.04,0.22918215668458702,0.2267635294793225,0.22711158923513625,0.22768575846634861,0.13698911766057886
20271107,lo,0.08,0.275144150616073,0.25764534304955256,0.26789727664824664,0.2668955901046241,0.056445620335307915
20271107,mid,0.0025,0.2046920297672074,0.20560848111657642,0.19588733487354063,0.20206261525244149,0.05409319220843783
20271107,mid,0.005,0.20518434178258838,0.20560970542374252,0.2074785024581001,0.20609084988814366,0.07269389480948313
20271107,mid,0.01,0.21184920075508706,0.20842144634987375,0.21179176764145488,0.21068747158213855,0.03638510583750884
20271107,mid,0.02,0.20336645553209529,0.2184580758119035,0.22323609206246825,0.2150202078021557,0.060275099307840724
20271107,mid,0.04,0.22909077137058678,0.22681511910131832,0.23291842776956542,0.22960810608049018,0.13629983064893345
20271107,mid,0.08,0.2689852697243669,0.257627401191256,0.26792435810031745,0.2648456763386468,0.057616451488004664
